sample,caller,vtype,metric,value
combined-ras,vardict,Indels,tp,0
combined-ras,freebayes,SNPs,tp,220
combined-ras,freebayes,Indels,fp,129
combined-ras,freebayes,SNPs,fp,641
combined-ras,vardict,Indels,fp,104
combined-ras,pisces,SNPs,fp,257
combined-ras,vardict,SNPs,tp,198
combined-ras,vardict,SNPs,fp,160
combined-ras,pisces,SNPs,fn,103
combined-ras,pisces,Indels,tp,0
combined-ras,vardict,Indels,fn,0
combined-ras,freebayes,SNPs,fn,98
combined-ras,freebayes,Indels,tp,0
combined-ras,freebayes,Indels,fn,0
combined-ras,vardict,SNPs,fn,99
combined-ras,pisces,Indels,fn,0
combined-ras,pisces,SNPs,tp,210
combined-ras,pisces,Indels,fp,16
